Delivery_person_Age,Delivery_person_Ratings,distance_km,Vehicle_condition,multiple_deliveries,city_enc,vehicle_enc,order_enc,festival_enc,order_hour,is_peak_hour,is_weekend,weather_Cloudy,weather_Fog,weather_Sandstorms,weather_Stormy,weather_Sunny,weather_Windy,traffic_High,traffic_Jam,traffic_Low,traffic_Medium,severe_x_distance,Time_taken(min)
29.0,5.0,2.9847309073623927,1,0.0,2,3,0,0,9,0,0,True,False,False,False,False,False,False,False,True,False,0.0,10.0
26.0,4.7,9.363935309152732,1,1.0,2,3,1,0,19,1,0,False,False,False,True,False,False,False,True,False,False,9.363935309152732,25.0
33.0,4.3,7.490185430661069,0,1.0,2,3,3,0,23,0,0,False,False,False,False,False,True,False,False,True,False,0.0,26.0
24.0,4.5,4.476897300672637,0,1.0,2,3,2,0,22,0,0,False,False,False,True,False,False,False,False,True,False,4.476897300672637,22.0
31.0,4.5,3.145067434621583,0,1.0,2,3,1,0,8,0,0,False,True,False,False,False,False,False,False,True,False,0.0,24.0
35.0,4.4,8.95310195230245,2,0.0,2,2,3,0,17,1,0,False,False,False,True,False,False,False,False,False,True,8.95310195230245,31.0
27.0,5.0,1.5606916397985116,1,0.0,2,2,2,0,8,0,0,False,False,False,True,False,False,False,False,True,False,1.5606916397985116,14.0
24.0,4.3,3.027364828628622,0,0.0,1,3,1,0,10,0,0,False,False,False,True,False,False,False,False,True,False,3.027364828628622,16.0
34.0,4.6,4.464808750409879,2,1.0,2,3,0,0,19,1,0,False,False,False,True,False,False,False,True,False,False,4.464808750409879,28.0
24.0,4.1,7.460873303706346,0,0.0,2,3,3,0,23,0,0,False,False,True,False,False,False,False,False,True,False,7.460873303706346,15.0
32.0,4.6,7.441030776958911,2,0.0,1,3,1,0,20,1,0,False,False,False,False,True,False,False,True,False,False,0.0,15.0
39.0,4.2,4.395420246829376,1,1.0,2,2,0,0,19,1,0,True,False,False,False,False,False,False,True,False,False,0.0,37.0
23.0,4.7,9.157673042594519,2,0.0,2,3,1,0,21,1,0,False,True,False,False,False,False,False,True,False,False,0.0,22.0
29.0,4.9,20.96888932863528,2,1.0,1,2,3,0,9,0,0,False,False,False,False,True,False,False,False,True,False,0.0,17.0
20.0,4.6,20.96888932863528,2,1.0,2,3,0,0,21,1,0,False,False,False,True,False,False,False,True,False,False,20.96888932863528,25.0
29.0,4.8,4.631614484187938,0,1.0,2,3,3,0,18,1,0,True,False,False,False,False,False,False,False,False,True,0.0,22.0
39.0,4.7,5.968995503546301,2,1.0,2,2,0,0,16,0,0,False,False,True,False,False,False,False,False,False,True,5.968995503546301,29.0
37.0,4.6,4.476870823146776,0,1.0,2,3,2,0,17,1,0,False,True,False,False,False,False,False,False,False,True,0.0,28.0
25.0,4.8,5.968779676050775,1,1.0,2,3,0,0,13,1,0,False,False,False,False,False,True,True,False,False,False,0.0,28.0
30.0,5.0,7.46114894864356,1,1.0,2,3,1,0,18,1,0,False,False,False,True,False,False,False,False,False,True,7.46114894864356,32.0
25.0,5.0,7.4411463368398385,2,0.0,2,1,0,0,17,1,0,True,False,False,False,False,False,False,False,False,True,0.0,12.0
34.0,4.7,7.8626681674103684,2,1.0,1,1,2,0,22,0,0,False,False,False,False,False,True,False,False,True,False,0.0,26.0
30.0,4.7,4.6819181980021165,0,1.0,2,3,3,0,23,0,0,False,True,False,False,False,False,False,False,True,False,0.0,23.0
28.0,4.6,9.080741822177433,0,0.0,2,3,1,0,18,1,0,False,False,True,False,False,False,False,False,False,True,9.080741822177433,17.0
30.0,4.4,4.464766878776638,0,0.0,2,3,2,0,22,0,0,False,False,True,False,False,False,False,False,True,False,4.464766878776638,27.0
28.0,4.8,3.088376284911997,1,1.0,2,3,3,0,9,0,0,False,True,False,False,False,False,False,False,True,False,0.0,18.0
21.0,5.0,7.461099952825721,1,1.0,2,2,1,0,17,1,0,False,False,True,False,False,False,False,False,False,True,7.461099952825721,29.0
36.0,4.9,5.9529046136306,0,1.0,2,3,3,0,13,1,0,True,False,False,False,False,False,True,False,False,False,0.0,25.0
39.0,4.1,2.984498091313309,0,1.0,2,3,1,0,8,0,0,False,False,False,False,False,True,False,False,True,False,0.0,33.0
36.0,4.3,3.052701203227866,0,1.0,2,3,2,0,8,0,0,False,False,False,True,False,False,False,False,True,False,3.052701203227866,33.0
26.0,4.6,1.4652050018990022,1,0.0,2,3,3,0,11,1,0,False,False,False,False,True,False,True,False,False,False,0.0,13.0
32.0,4.7,7.460811932596954,1,1.0,1,3,1,0,19,1,0,False,False,False,True,False,False,False,True,False,False,7.460811932596954,29.0
25.0,4.7,1.4922842147892665,2,0.0,2,2,0,0,10,0,0,False,False,False,True,False,False,False,False,True,False,1.4922842147892665,19.0
38.0,4.8,7.80255476855983,1,1.0,2,3,0,0,18,1,0,True,False,False,False,False,False,False,False,False,True,0.0,17.0
20.0,4.6,5.860420473448054,2,1.0,2,2,3,0,15,0,0,False,False,False,False,True,False,False,False,False,True,0.0,19.0
32.0,4.8,1.4651613615197694,2,1.0,2,2,0,0,10,0,0,False,False,False,False,False,True,False,False,True,False,0.0,29.0
38.0,4.0,4.681604178292516,2,1.0,2,2,0,0,20,1,0,False,True,False,False,False,False,False,True,False,False,0.0,32.0
24.0,4.9,2.976570182999729,2,1.0,2,2,3,0,9,0,0,False,False,True,False,False,False,False,False,True,False,2.976570182999729,16.0
30.0,4.7,3.1212889129781884,3,1.0,2,2,0,0,19,1,0,False,True,False,False,False,False,False,False,True,False,0.0,30.0
29.0,4.6,4.464734973807576,1,1.0,2,2,1,0,20,1,0,False,True,False,False,False,False,False,True,False,False,0.0,27.0
20.0,4.6,5.968570257847648,0,0.0,1,3,3,0,13,1,0,False,False,True,False,False,False,True,False,False,False,5.968570257847648,20.0
29.0,4.3,3.0527068570730225,0,0.0,1,3,2,0,10,0,0,False,False,False,True,False,False,False,False,True,False,3.0527068570730225,17.0
20.0,5.0,4.5409498250826665,0,1.0,2,3,2,0,18,1,0,False,False,False,False,False,True,False,False,False,True,0.0,21.0
24.0,4.1,3.145067434621583,0,0.0,2,3,0,0,8,0,0,False,False,False,True,False,False,False,False,True,False,3.145067434621583,15.0
37.0,4.9,1.498111285910988,1,0.0,2,3,1,0,11,1,0,False,False,True,False,False,False,True,False,False,False,1.498111285910988,34.0
27.0,4.5,8.988071540167201,2,1.0,2,2,2,0,18,1,0,False,False,False,False,True,False,False,False,False,True,0.0,18.0
23.0,4.7,6.242341033681714,2,1.0,2,3,0,0,14,1,0,True,False,False,False,False,False,True,False,False,False,0.0,31.0
27.0,4.1,1.4981318605548686,0,1.0,2,3,3,0,11,1,0,False,False,True,False,False,False,False,False,True,False,1.4981318605548686,20.0
24.0,4.6,9.157702644261322,2,1.0,1,1,0,0,19,1,0,False,False,False,False,True,False,False,True,False,False,0.0,19.0
38.0,4.2,4.717601092054723,0,1.0,1,3,2,0,22,0,0,False,False,True,False,False,False,False,False,True,False,4.717601092054723,22.0
31.0,4.7,4.395530071409622,2,1.0,1,3,1,0,17,1,0,False,False,False,False,True,False,False,False,False,True,0.0,21.0
33.0,4.0,3.0528213653155487,2,0.0,2,3,2,0,11,1,0,False,True,False,False,False,False,True,False,False,False,0.0,31.0
35.0,4.6,1.4883240260793253,1,1.0,2,3,1,0,9,0,0,True,False,False,False,False,False,False,False,True,False,0.0,19.0
35.0,4.6,4.579067429409076,0,1.0,2,3,3,0,18,1,0,False,False,False,False,False,True,False,False,False,True,0.0,26.0
34.0,4.4,9.435201537430713,2,1.0,2,2,0,0,19,1,0,False,False,False,False,False,True,False,True,False,False,0.0,33.0
29.0,4.4,7.325358653271534,0,3.0,1,3,3,0,19,1,0,False,False,False,False,True,False,False,True,False,False,0.0,48.0
27.0,4.7,4.476869299223188,1,1.0,1,3,2,0,18,1,0,False,False,False,False,False,True,False,False,False,True,0.0,26.0
36.0,4.7,5.86057689490914,2,1.0,2,3,3,0,15,0,0,False,False,False,False,True,False,False,False,False,True,0.0,21.0
25.0,5.0,5.874816158028467,0,1.0,1,3,2,0,15,0,0,False,False,False,False,False,True,False,False,False,True,0.0,13.0
32.0,4.6,8.987828354729745,0,1.0,1,3,2,0,17,1,0,False,False,False,False,True,False,False,False,False,True,0.0,22.0
26.0,4.8,2.996194246947018,1,1.0,1,2,3,0,11,1,0,False,False,False,False,False,True,True,False,False,False,0.0,18.0
30.0,4.7,4.494280123827342,1,1.0,2,2,2,0,19,1,0,False,False,True,False,False,False,False,True,False,False,4.494280123827342,34.0
28.0,4.5,4.634551589453643,0,2.0,0,3,1,0,22,0,0,False,False,False,False,True,False,False,True,False,False,0.0,47.0
39.0,4.0,8.810838587370053,1,1.0,2,3,0,0,19,1,0,True,False,False,False,False,False,False,True,False,False,0.0,37.0
21.0,4.6,3.145067434621583,0,1.0,2,3,2,0,11,1,0,False,False,False,True,False,False,True,False,False,False,3.145067434621583,23.0
35.0,4.6,4.494291162003504,1,0.0,2,2,3,0,23,0,0,False,False,True,False,False,False,False,False,True,False,4.494291162003504,21.0
37.0,4.8,9.268782493955198,1,1.0,2,3,2,0,20,1,0,False,True,False,False,False,False,False,True,False,False,0.0,36.0
38.0,4.8,5.992403045233207,1,0.0,2,2,0,0,15,0,0,False,False,False,True,False,False,False,False,False,True,5.992403045233207,27.0
33.0,4.9,6.175413559946173,1,1.0,2,3,0,0,14,1,0,False,False,False,False,False,True,True,False,False,False,0.0,25.0
39.0,4.8,2.937443361922329,1,1.0,2,3,1,0,9,0,0,False,False,False,True,False,False,False,False,True,False,2.937443361922329,24.0
35.0,4.6,6.175283575308341,2,1.0,2,3,2,0,14,1,0,True,False,False,False,False,False,True,False,False,False,0.0,33.0
26.0,4.6,6.179330887543313,0,0.0,1,3,3,0,12,1,0,False,False,False,False,False,True,True,False,False,False,0.0,17.0
36.0,4.9,1.5137650551016817,2,1.0,2,1,3,0,11,1,0,False,True,False,False,False,False,True,False,False,False,0.0,28.0
25.0,4.8,1.5605734793807475,2,0.0,2,2,0,0,9,0,0,False,True,False,False,False,False,False,False,True,False,0.0,15.0
28.0,4.4,1.4922292227422251,0,1.0,2,3,1,0,9,0,0,False,False,True,False,False,False,False,False,True,False,1.4922292227422251,24.0
28.0,4.7,3.12109153947145,2,1.0,1,2,0,0,11,1,0,True,False,False,False,False,False,True,False,False,False,0.0,20.0
31.0,4.9,4.632302885852554,0,0.0,1,3,3,0,19,1,0,False,False,True,False,False,False,False,True,False,False,4.632302885852554,33.0
26.0,4.5,6.04002385691787,1,0.0,2,3,2,0,12,1,0,False,False,False,True,False,False,True,False,False,False,6.04002385691787,24.0
32.0,4.7,4.530462395476539,2,1.0,2,2,3,0,20,1,0,False,False,True,False,False,False,False,True,False,False,4.530462395476539,30.0
22.0,4.3,6.290134677634678,0,1.0,2,3,1,0,14,1,0,False,False,False,False,True,False,True,False,False,False,0.0,43.0
35.0,4.0,6.05427440822372,0,1.0,2,3,1,0,15,0,0,False,False,False,False,False,True,False,False,False,True,0.0,38.0
28.0,4.8,7.7197206344779765,1,1.0,2,2,1,0,20,1,0,False,True,False,False,False,False,False,True,False,False,0.0,20.0
37.0,4.9,4.406256770468765,0,0.0,2,3,0,0,20,1,0,False,False,True,False,False,False,False,True,False,False,4.406256770468765,46.0
37.0,4.7,9.264201245331765,2,0.0,2,2,2,0,23,0,0,False,False,True,False,False,False,False,False,True,False,9.264201245331765,20.0
35.0,4.7,9.264280986804865,2,1.0,2,3,1,0,21,1,0,False,False,False,True,False,False,False,True,False,False,9.264280986804865,26.0
27.0,4.6,3.020142428966553,1,0.0,2,2,0,0,10,0,0,False,False,False,True,False,False,False,False,True,False,3.020142428966553,18.0
24.0,4.7,5.968901918017758,0,1.0,2,3,3,0,12,1,0,False,False,False,False,False,True,True,False,False,False,0.0,19.0
32.0,4.7,7.44105617650967,1,1.0,2,3,3,0,17,1,0,False,False,False,False,False,True,False,False,False,True,0.0,28.0
31.0,4.7,20.96888932863528,2,0.0,2,3,2,0,9,0,0,False,False,False,True,False,False,False,False,True,False,20.96888932863528,23.0
25.0,4.7,1.5263919839640103,1,1.0,2,3,1,0,11,1,0,False,False,True,False,False,False,True,False,False,False,1.5263919839640103,23.0
39.0,4.7,6.290134677634678,1,1.0,2,3,2,0,16,0,0,False,False,True,False,False,False,False,False,False,True,6.290134677634678,33.0
25.0,5.0,1.5725337292863206,2,1.0,2,2,2,0,11,1,0,False,False,False,False,True,False,True,False,False,False,0.0,16.0
34.0,5.0,6.290134677634678,2,1.0,2,1,0,0,13,1,0,False,False,False,False,True,False,True,False,False,False,0.0,17.0
32.0,4.0,8.952838725882883,1,1.0,2,2,0,0,19,1,0,True,False,False,False,False,False,False,True,False,False,0.0,36.0
30.0,4.8,9.435201537430713,1,1.0,2,3,2,0,17,1,0,False,False,True,False,False,False,False,False,False,True,9.435201537430713,25.0
30.0,4.7,4.717601092054723,1,0.0,2,2,3,0,18,1,0,True,False,False,False,False,False,False,False,False,True,0.0,17.0
22.0,4.6,1.468846854978912,0,1.0,2,3,3,0,9,0,0,True,False,False,False,False,False,False,False,True,False,0.0,17.0
